,set_num,name,year,theme_id,num_parts
20,03093-1,The Race to Build It Board Game,1999,502,70
27,10000-1,Guarded Inn,2001,186,256
28,10001-1,Metroliner,2001,233,785
29,10002-1,Railroad Club Car,2001,233,272
30,10003-1,1 x 2 Sand Red Bricks,2001,254,100
31,10004-1,2 x 2 Sand Red Bricks,2001,254,100
32,10005-1,2 x 4 Sand Red Bricks,2001,254,50
33,10006-1,1 x 6 Sand Red Bricks,2001,254,50
34,10007-1,2 x 4 Sand Red Ridge Roof Tiles Steep Slope,2001,254,25
35,10008-1,2 x 4 Roof Tile Sand Red,2001,254,50
36,10009-1,Assorted Blue Bricks,2001,254,62
38,10010-1,Assorted Yellow Bricks,2003,254,63
39,10011-1,Assorted Blue Plates,2001,254,42
40,10012-1,Assorted Yellow Plates,2001,254,42
41,10013-1,Open Freight Wagon,2001,238,121
42,10014-1,Caboose,2001,238,170
43,10015-1,Passenger Wagon,2001,238,194
44,10016-1,Tanker,2001,238,128
45,10017-1,Hopper Wagon,2001,238,228
46,10018-1,Darth Maul,2001,158,1868
47,10019-1,Rebel Blockade Runner - UCS,2001,174,1747
49,10020-1,"Santa Fe Super Chief, NOT the Limited Edition",2002,236,427
50,10020-2,"Santa Fe Super Chief, Limited Edition",2002,236,433
51,10021-1,U.S.S. Constellation,2003,404,974
52,10022-1,"Santa Fe Cars - Set II (dining, observation, or sleeping car)",2002,237,410
53,10023-1,Master Builder Set,2002,324,112
54,10024-1,Red Baron,2002,276,669
55,10025-1,Santa Fe Cars - Set I (mail or baggage car),2002,237,325
56,10026-1,Naboo Starfighter - UCS,2002,172,187
57,10027-1,Train Engine Shed,2003,239,670
58,10029-1,Lunar Lander,2003,387,468
59,10030-1,Imperial Star Destroyer - UCS,2002,174,3115
60,10036-1,Pizza To Go,2002,75,150
61,10037-1,Breezeway Cafe,2002,75,194
62,10039-1,Black Falcon's Fortress,2002,186,431
63,10040-1,Black Seas Barracuda,2002,147,914
64,10041-1,"Main Street, Reissue",2003,85,639
65,10042-1,American Flag,2003,206,35
66,10043-1,2x2 Electrical Plate,2002,254,1
67,10044-1,Windows and Doors,2002,254,44
68,10045-1,Pillars and Beams,2002,254,13
69,10046-1,Brown Tiles,2002,254,100
70,10047-1,Light Gray Arches,2002,254,36
71,10048-1,Small Wheels and Axles,2002,254,61
72,10049-1,Large Wheels and Axles,2002,254,31
73,10050-1,Gray Fences,2002,254,34
74,10051-1,Transparent Bricks,2002,254,50
75,10053-1,Black Slopes 33,2003,254,44
76,10054-1,Black Slopes 33 3 x 2 and 3 x 4,2003,254,68
77,10055-1,Black Slopes 33 3 x 1 and 3 x 3,2003,254,50
78,10056-1,White Plates 2 x n,2002,254,56
79,10057-1,Black Plates 2 x n,2002,254,56
80,10058-1,Red Plates 2 x n,2002,254,56
81,10059-1,Dark Green Plates 2 x n,2002,254,56
82,10060-1,Light Gray Plates 2 x n,2002,254,56
83,10061-1,Black Plates 1 x n,2002,254,84
84,10062-1,Red Plates 1 x n,2002,254,84
85,10063-1,Dark Green Plates 1 x n,2002,254,84
86,10064-1,Light Gray Plates 1 x n,2002,254,84
87,10065-1,White Plates 1 x n,2002,254,84
88,10066-1,Castle Accessories,2002,255,41
89,10067-1,Mini-Fig Headgear,2002,254,53
90,10068-1,Santa Claus,2002,227,39
91,10069-1,Christmas Tree,2002,227,33
92,10070-1,Reindeer,2002,227,26
93,10071-1,Mr. Bunny,2003,229,25
94,10072-1,TECHNIC Beams,2003,256,56
95,10073-1,Bushes,2003,256,130
96,10074-1,Cross Axles,2003,256,68
97,10075-1,Spider-Man Action Pack,2002,488,25
98,10076-1,TECHNIC Gear Wheels,2002,256,38
99,10077-1,TECHNIC Motor,2003,256,55
100,10078-1,Train Connection Wire,2003,257,1
101,10079-1,Snowman,2003,227,42
102,10080-1,Angel,2003,227,33
103,10081-1,Birthday Pack Heart,2004,500,70
104,10082-1,Birthday Pack Daisy,2004,500,70
105,10083-1,Birthday Pack Star,2004,500,70
106,10090-1,Turkey,2003,231,54
107,10106-1,Snowflake,2006,227,107
109,10111-1,Foliferous Tree,2001,254,10
110,10112-1,Bush,2001,254,25
111,10113-1,Cypress Trees,2001,254,5
112,10114-1,2 x 2 Sand Red Roof Tiles,2001,254,100
113,10115-1,Jumper Bricks,2001,254,80
114,10116-1,Accessories Heart,2004,500,50
115,10117-1,Accessories Daisy,2004,500,50
116,10118-1,Accessories Star,2004,500,50
117,10121-1,NBA Basketball Teams,2003,459,16
118,10123-1,Cloud City,2003,169,707
119,10124-1,Wright Flyer,2003,276,663
120,10127-1,NHL Action Set with Stickers,2003,461,56
121,10128-1,Train Level Crossing,2003,239,326
122,10129-1,Rebel Snowspeeder - UCS,2003,174,1456
124,10131-1,TIE Fighter Collection,2004,169,688
125,10132-1,Motorized Hogwarts Express,2004,246,693
126,10133-1,Burlington Northern Santa Fe Locomotive,2004,236,400
127,10134-1,Y-wing Attack Starfighter - UCS,2004,174,1487
128,10143-1,Death Star II,2005,174,3460
129,10144-1,Sandcrawler,2005,169,1679
130,10145-1,Assorted Light Gray Bricks,2004,254,124
131,10146-1,Assorted Dark Gray Bricks,2004,254,62
132,10147-1,Assorted Brown Bricks,2004,254,62
133,10148-1,Assorted Light Gray Plates,2004,254,84
134,10149-1,Assorted Dark Gray Plates,2004,254,42
